Total Nacional;Comunidades y Ciudades Autónomas;Provincias;País de nacionalidad;Edad (hasta 100 y más);Sexo;Periodo;Total
Total Nacional;;;Dominica;Todas las edades;Total;1 de enero de 2019;528
Total Nacional;;;El Salvador;Todas las edades;Total;1 de enero de 2019;16.093
Total Nacional;;;Guatemala;Todas las edades;Total;1 de enero de 2019;5.382
Total Nacional;;;Honduras;Todas las edades;Total;1 de enero de 2019;96.382
Total Nacional;;;Nicaragua;Todas las edades;Total;1 de enero de 2019;42.249
Total Nacional;;;Panamá;Todas las edades;Total;1 de enero de 2019;2.683
Total Nacional;;;República Dominicana;Todas las edades;Total;1 de enero de 2019;73.623
Total Nacional;;;Resto de Nacionalidades de América Central y Caribe;Todas las edades;Total;1 de enero de 2019;884
Total Nacional;;;De América del Norte;Todas las edades;Total;1 de enero de 2019;68.019
Total Nacional;;;Canadá;Todas las edades;Total;1 de enero de 2019;4.517
Total Nacional;;;Estados Unidos de América;Todas las edades;Total;1 de enero de 2019;37.352
Total Nacional;;;México;Todas las edades;Total;1 de enero de 2019;26.150
Total Nacional;;;De Sudamérica;Todas las edades;Total;1 de enero de 2019;957.231
Total Nacional;;;Argentina;Todas las edades;Total;1 de enero de 2019;77.649
Total Nacional;;;Bolivia;Todas las edades;Total;1 de enero de 2019;95.717
Total Nacional;;;Brasil;Todas las edades;Total;1 de enero de 2019;90.304
Total Nacional;;;Chile;Todas las edades;Total;1 de enero de 2019;26.406
Total Nacional;;;Colombia;Todas las edades;Total;1 de enero de 2019;206.719
Total Nacional;;;Ecuador;Todas las edades;Total;1 de enero de 2019;131.814
Total Nacional;;;Paraguay;Todas las edades;Total;1 de enero de 2019;80.218
Total Nacional;;;Perú;Todas las edades;Total;1 de enero de 2019;84.179
Total Nacional;;;Uruguay;Todas las edades;Total;1 de enero de 2019;26.406
Total Nacional;;;Venezuela;Todas las edades;Total;1 de enero de 2019;137.776
Total Nacional;;;Resto de Nacionalidades de América del Sur;Todas las edades;Total;1 de enero de 2019;43
Total Nacional;;;De Asia;Todas las edades;Total;1 de enero de 2019;468.808
Total Nacional;;;Arabia Saudí;Todas las edades;Total;1 de enero de 2019;746
Total Nacional;;;Bangladesh;Todas las edades;Total;1 de enero de 2019;18.102
Total Nacional;;;China;Todas las edades;Total;1 de enero de 2019;224.559
Total Nacional;;;Corea;Todas las edades;Total;1 de enero de 2019;4.202
Total Nacional;;;Filipinas;Todas las edades;Total;1 de enero de 2019;35.289
Total Nacional;;;India;Todas las edades;Total;1 de enero de 2019;49.119
Total Nacional;;;Indonesia;Todas las edades;Total;1 de enero de 2019;1.767
Total Nacional;;;Irán;Todas las edades;Total;1 de enero de 2019;5.923
Total Nacional;;;Iraq;Todas las edades;Total;1 de enero de 2019;1.554
Total Nacional;;;Israel;Todas las edades;Total;1 de enero de 2019;2.310
Total Nacional;;;Japón;Todas las edades;Total;1 de enero de 2019;6.074
Total Nacional;;;Jordania;Todas las edades;Total;1 de enero de 2019;1.318
Total Nacional;;;Kazajstán;Todas las edades;Total;1 de enero de 2019;2.442
Total Nacional;;;Líbano;Todas las edades;Total;1 de enero de 2019;2.118
Total Nacional;;;Nepal;Todas las edades;Total;1 de enero de 2019;5.077
Total Nacional;;;Pakistán;Todas las edades;Total;1 de enero de 2019;88.935
Total Nacional;;;Siria;Todas las edades;Total;1 de enero de 2019;7.329
Total Nacional;;;Tailandia;Todas las edades;Total;1 de enero de 2019;2.039
Total Nacional;;;Vietnam;Todas las edades;Total;1 de enero de 2019;1.938
Total Nacional;;;Resto de Nacionalidades Asiáticas;Todas las edades;Total;1 de enero de 2019;7.967
Total Nacional;;;De Oceanía;Todas las edades;Total;1 de enero de 2019;3.531
Total Nacional;;;Australia;Todas las edades;Total;1 de enero de 2019;2.623
Total Nacional;;;Nueva Zelanda;Todas las edades;Total;1 de enero de 2019;771
Total Nacional;;;Resto de Nacionalidades de Oceanía;Todas las edades;Total;1 de enero de 2019;137
Total Nacional;;;Apátridas;Todas las edades;Total;1 de enero de 2019;2.267
Total Nacional;01 Andalucía;;Extranjera;Todas las edades;Total;1 de enero de 2019;655.555
Total Nacional;01 Andalucía;;Europa (sin España);Todas las edades;Total;1 de enero de 2019;318.834
Total Nacional;01 Andalucía;;Alemania;Todas las edades;Total;1 de enero de 2019;15.934
Total Nacional;01 Andalucía;;Austria;Todas las edades;Total;1 de enero de 2019;922
Total Nacional;01 Andalucía;;Bélgica;Todas las edades;Total;1 de enero de 2019;7.337
Total Nacional;01 Andalucía;;Bulgaria;Todas las edades;Total;1 de enero de 2019;9.105
Total Nacional;01 Andalucía;;Chipre;Todas las edades;Total;1 de enero de 2019;29
Total Nacional;01 Andalucía;;Croacia;Todas las edades;Total;1 de enero de 2019;235
Total Nacional;01 Andalucía;;Dinamarca;Todas las edades;Total;1 de enero de 2019;4.784
