Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Relacion entre lugar de nacimiento y residencia;Edad (grupos quinquenales);Sexo;Periodo;Total
Total Nacional;08 Castilla - La Mancha;02 Albacete;En el extranjero;Todas las edades;Total;1 de enero de 2010;35.345
Total Nacional;08 Castilla - La Mancha;02 Albacete;En el extranjero;Todas las edades;Total;1 de enero de 2006;25.073
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;En España;Todas las edades;Total;1 de enero de 2022;1.440.209
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;En España;Todas las edades;Total;1 de enero de 2018;1.443.156
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;En España;Todas las edades;Total;1 de enero de 2014;1.440.586
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;En España;Todas las edades;Total;1 de enero de 2010;1.430.169
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;En España;Todas las edades;Total;1 de enero de 2006;1.395.467
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2022;1.087.952
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2018;1.081.876
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2014;1.069.297
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2010;1.048.435
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2006;1.009.404
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2022;36.220
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2018;35.614
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2014;35.252
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2010;34.907
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2006;33.396
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2022;316.037
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2018;325.666
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2014;336.037
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2010;346.827
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2006;352.667
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;En el extranjero;Todas las edades;Total;1 de enero de 2022;461.385
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;En el extranjero;Todas las edades;Total;1 de enero de 2018;395.663
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;En el extranjero;Todas las edades;Total;1 de enero de 2014;427.852
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;En el extranjero;Todas las edades;Total;1 de enero de 2010;496.116
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;En el extranjero;Todas las edades;Total;1 de enero de 2006;388.088
Total Nacional;01 Andalucía;04 Almería;En España;Todas las edades;Total;1 de enero de 2022;571.044
Total Nacional;01 Andalucía;04 Almería;En España;Todas las edades;Total;1 de enero de 2018;562.908
Total Nacional;01 Andalucía;04 Almería;En España;Todas las edades;Total;1 de enero de 2014;553.770
Total Nacional;01 Andalucía;04 Almería;En España;Todas las edades;Total;1 de enero de 2010;541.028
Total Nacional;01 Andalucía;04 Almería;En España;Todas las edades;Total;1 de enero de 2006;519.153
Total Nacional;01 Andalucía;04 Almería;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2022;466.240
Total Nacional;01 Andalucía;04 Almería;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2018;460.423
Total Nacional;01 Andalucía;04 Almería;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2014;452.808
Total Nacional;01 Andalucía;04 Almería;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2010;441.335
Total Nacional;01 Andalucía;04 Almería;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2006;422.954
Total Nacional;01 Andalucía;04 Almería;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2022;55.369
Total Nacional;01 Andalucía;04 Almería;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2018;55.165
Total Nacional;01 Andalucía;04 Almería;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2014;54.592
Total Nacional;01 Andalucía;04 Almería;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2010;54.381
Total Nacional;01 Andalucía;04 Almería;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2006;53.433
Total Nacional;01 Andalucía;04 Almería;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2022;49.435
Total Nacional;01 Andalucía;04 Almería;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2018;47.320
Total Nacional;01 Andalucía;04 Almería;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2014;46.370
Total Nacional;01 Andalucía;04 Almería;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2010;45.312
Total Nacional;01 Andalucía;04 Almería;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2006;42.766
Total Nacional;01 Andalucía;04 Almería;En el extranjero;Todas las edades;Total;1 de enero de 2022;169.490
Total Nacional;01 Andalucía;04 Almería;En el extranjero;Todas las edades;Total;1 de enero de 2018;146.432
Total Nacional;01 Andalucía;04 Almería;En el extranjero;Todas las edades;Total;1 de enero de 2014;147.918
Total Nacional;01 Andalucía;04 Almería;En el extranjero;Todas las edades;Total;1 de enero de 2010;154.532
Total Nacional;01 Andalucía;04 Almería;En el extranjero;Todas las edades;Total;1 de enero de 2006;116.697
Total Nacional;07 Castilla y León;05 Ávila;En España;Todas las edades;Total;1 de enero de 2022;143.841
Total Nacional;07 Castilla y León;05 Ávila;En España;Todas las edades;Total;1 de enero de 2018;146.458
Total Nacional;07 Castilla y León;05 Ávila;En España;Todas las edades;Total;1 de enero de 2014;152.810
Total Nacional;07 Castilla y León;05 Ávila;En España;Todas las edades;Total;1 de enero de 2010;157.816
Total Nacional;07 Castilla y León;05 Ávila;En España;Todas las edades;Total;1 de enero de 2006;159.092
Total Nacional;07 Castilla y León;05 Ávila;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2022;107.011
Total Nacional;07 Castilla y León;05 Ávila;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2018;112.294
Total Nacional;07 Castilla y León;05 Ávila;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2014;118.003
Total Nacional;07 Castilla y León;05 Ávila;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2010;123.031
Total Nacional;07 Castilla y León;05 Ávila;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2006;126.548
Total Nacional;07 Castilla y León;05 Ávila;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2022;7.838
Total Nacional;07 Castilla y León;05 Ávila;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2018;7.868
Total Nacional;07 Castilla y León;05 Ávila;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2014;8.040
Total Nacional;07 Castilla y León;05 Ávila;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2010;8.163
Total Nacional;07 Castilla y León;05 Ávila;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2006;8.100
Total Nacional;07 Castilla y León;05 Ávila;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2022;28.992
Total Nacional;07 Castilla y León;05 Ávila;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2018;26.296
Total Nacional;07 Castilla y León;05 Ávila;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2014;26.767
Total Nacional;07 Castilla y León;05 Ávila;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2010;26.622
Total Nacional;07 Castilla y León;05 Ávila;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2006;24.444
Total Nacional;07 Castilla y León;05 Ávila;En el extranjero;Todas las edades;Total;1 de enero de 2022;14.299
Total Nacional;07 Castilla y León;05 Ávila;En el extranjero;Todas las edades;Total;1 de enero de 2018;12.040
Total Nacional;07 Castilla y León;05 Ávila;En el extranjero;Todas las edades;Total;1 de enero de 2014;14.205
Total Nacional;07 Castilla y León;05 Ávila;En el extranjero;Todas las edades;Total;1 de enero de 2010;14.080
Total Nacional;07 Castilla y León;05 Ávila;En el extranjero;Todas las edades;Total;1 de enero de 2006;8.726
Total Nacional;11 Extremadura;06 Badajoz;En España;Todas las edades;Total;1 de enero de 2022;637.972
Total Nacional;11 Extremadura;06 Badajoz;En España;Todas las edades;Total;1 de enero de 2018;650.406
Total Nacional;11 Extremadura;06 Badajoz;En España;Todas las edades;Total;1 de enero de 2014;661.911
Total Nacional;11 Extremadura;06 Badajoz;En España;Todas las edades;Total;1 de enero de 2010;663.796
Total Nacional;11 Extremadura;06 Badajoz;En España;Todas las edades;Total;1 de enero de 2006;655.135
Total Nacional;11 Extremadura;06 Badajoz;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2022;563.673
Total Nacional;11 Extremadura;06 Badajoz;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2018;576.329
Total Nacional;11 Extremadura;06 Badajoz;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2014;586.455
Total Nacional;11 Extremadura;06 Badajoz;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2010;589.806
Total Nacional;11 Extremadura;06 Badajoz;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2006;586.536
Total Nacional;11 Extremadura;06 Badajoz;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2022;13.082
Total Nacional;11 Extremadura;06 Badajoz;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2018;13.140
Total Nacional;11 Extremadura;06 Badajoz;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2014;13.286
Total Nacional;11 Extremadura;06 Badajoz;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2010;13.081
Total Nacional;11 Extremadura;06 Badajoz;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2006;12.721
Total Nacional;11 Extremadura;06 Badajoz;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2022;61.217
Total Nacional;11 Extremadura;06 Badajoz;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2018;60.937
Total Nacional;11 Extremadura;06 Badajoz;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2014;62.170
Total Nacional;11 Extremadura;06 Badajoz;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2010;60.909
Total Nacional;11 Extremadura;06 Badajoz;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2006;55.878
Total Nacional;11 Extremadura;06 Badajoz;En el extranjero;Todas las edades;Total;1 de enero de 2022;28.999
Total Nacional;11 Extremadura;06 Badajoz;En el extranjero;Todas las edades;Total;1 de enero de 2018;25.970
Total Nacional;11 Extremadura;06 Badajoz;En el extranjero;Todas las edades;Total;1 de enero de 2014;29.018
Total Nacional;11 Extremadura;06 Badajoz;En el extranjero;Todas las edades;Total;1 de enero de 2010;28.341
Total Nacional;11 Extremadura;06 Badajoz;En el extranjero;Todas las edades;Total;1 de enero de 2006;18.339
Total Nacional;04 Balears, Illes;07 Balears, Illes;En España;Todas las edades;Total;1 de enero de 2022;886.533
Total Nacional;04 Balears, Illes;07 Balears, Illes;En España;Todas las edades;Total;1 de enero de 2018;878.114
Total Nacional;04 Balears, Illes;07 Balears, Illes;En España;Todas las edades;Total;1 de enero de 2014;858.988
Total Nacional;04 Balears, Illes;07 Balears, Illes;En España;Todas las edades;Total;1 de enero de 2010;838.559
Total Nacional;04 Balears, Illes;07 Balears, Illes;En España;Todas las edades;Total;1 de enero de 2006;813.378
Total Nacional;04 Balears, Illes;07 Balears, Illes;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2022;635.163
Total Nacional;04 Balears, Illes;07 Balears, Illes;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2018;624.290
Total Nacional;04 Balears, Illes;07 Balears, Illes;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2014;611.056
Total Nacional;04 Balears, Illes;07 Balears, Illes;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2010;591.625
Total Nacional;04 Balears, Illes;07 Balears, Illes;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2006;567.761
Total Nacional;04 Balears, Illes;07 Balears, Illes;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2022;0
Total Nacional;04 Balears, Illes;07 Balears, Illes;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2018;0
Total Nacional;04 Balears, Illes;07 Balears, Illes;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2014;0
Total Nacional;04 Balears, Illes;07 Balears, Illes;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2010;0
Total Nacional;04 Balears, Illes;07 Balears, Illes;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2006;0
Total Nacional;04 Balears, Illes;07 Balears, Illes;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2022;251.370
Total Nacional;04 Balears, Illes;07 Balears, Illes;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2018;253.824
Total Nacional;04 Balears, Illes;07 Balears, Illes;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2014;247.932
Total Nacional;04 Balears, Illes;07 Balears, Illes;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2010;246.934
Total Nacional;04 Balears, Illes;07 Balears, Illes;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2006;245.617
Total Nacional;04 Balears, Illes;07 Balears, Illes;En el extranjero;Todas las edades;Total;1 de enero de 2022;290.126
Total Nacional;04 Balears, Illes;07 Balears, Illes;En el extranjero;Todas las edades;Total;1 de enero de 2018;250.794
Total Nacional;04 Balears, Illes;07 Balears, Illes;En el extranjero;Todas las edades;Total;1 de enero de 2014;244.454
Total Nacional;04 Balears, Illes;07 Balears, Illes;En el extranjero;Todas las edades;Total;1 de enero de 2010;267.490
Total Nacional;04 Balears, Illes;07 Balears, Illes;En el extranjero;Todas las edades;Total;1 de enero de 2006;187.684
Total Nacional;09 Cataluña;08 Barcelona;En España;Todas las edades;Total;1 de enero de 2022;4.525.547
Total Nacional;09 Cataluña;08 Barcelona;En España;Todas las edades;Total;1 de enero de 2018;4.610.098
Total Nacional;09 Cataluña;08 Barcelona;En España;Todas las edades;Total;1 de enero de 2014;4.616.433
Total Nacional;09 Cataluña;08 Barcelona;En España;Todas las edades;Total;1 de enero de 2010;4.597.931
Total Nacional;09 Cataluña;08 Barcelona;En España;Todas las edades;Total;1 de enero de 2006;4.589.949
Total Nacional;09 Cataluña;08 Barcelona;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2022;3.488.861
Total Nacional;09 Cataluña;08 Barcelona;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2018;3.466.751
Total Nacional;09 Cataluña;08 Barcelona;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2014;3.394.381
Total Nacional;09 Cataluña;08 Barcelona;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2010;3.294.174
Total Nacional;09 Cataluña;08 Barcelona;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2006;3.188.618
Total Nacional;09 Cataluña;08 Barcelona;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2022;116.249
Total Nacional;09 Cataluña;08 Barcelona;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2018;120.956
Total Nacional;09 Cataluña;08 Barcelona;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2014;123.361
Total Nacional;09 Cataluña;08 Barcelona;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2010;126.317
Total Nacional;09 Cataluña;08 Barcelona;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2006;130.863
Total Nacional;09 Cataluña;08 Barcelona;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2022;920.437
Total Nacional;09 Cataluña;08 Barcelona;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2018;1.022.391
