Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Relacion entre lugar de nacimiento y residencia;Edad (grupos quinquenales);Sexo;Periodo;Total
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2014;154.436
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2010;160.695
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2006;165.781
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2022;7.279
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2018;7.148
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2014;7.065
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2010;7.060
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2006;6.954
Total Nacional;08 Castilla - La Mancha;16 Cuenca;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2022;23.242
Total Nacional;08 Castilla - La Mancha;16 Cuenca;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2018;21.853
Total Nacional;08 Castilla - La Mancha;16 Cuenca;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2014;22.116
Total Nacional;08 Castilla - La Mancha;16 Cuenca;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2010;21.944
Total Nacional;08 Castilla - La Mancha;16 Cuenca;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2006;20.139
Total Nacional;08 Castilla - La Mancha;16 Cuenca;En el extranjero;Todas las edades;Total;1 de enero de 2022;24.440
Total Nacional;08 Castilla - La Mancha;16 Cuenca;En el extranjero;Todas las edades;Total;1 de enero de 2018;20.912
Total Nacional;08 Castilla - La Mancha;16 Cuenca;En el extranjero;Todas las edades;Total;1 de enero de 2014;23.832
Total Nacional;08 Castilla - La Mancha;16 Cuenca;En el extranjero;Todas las edades;Total;1 de enero de 2010;28.017
Total Nacional;08 Castilla - La Mancha;16 Cuenca;En el extranjero;Todas las edades;Total;1 de enero de 2006;15.742
Total Nacional;09 Cataluña;17 Girona;En España;Todas las edades;Total;1 de enero de 2022;602.106
Total Nacional;09 Cataluña;17 Girona;En España;Todas las edades;Total;1 de enero de 2018;596.870
Total Nacional;09 Cataluña;17 Girona;En España;Todas las edades;Total;1 de enero de 2014;594.741
Total Nacional;09 Cataluña;17 Girona;En España;Todas las edades;Total;1 de enero de 2010;587.192
Total Nacional;09 Cataluña;17 Girona;En España;Todas las edades;Total;1 de enero de 2006;567.602
Total Nacional;09 Cataluña;17 Girona;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2022;407.361
Total Nacional;09 Cataluña;17 Girona;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2018;403.111
Total Nacional;09 Cataluña;17 Girona;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2014;396.136
Total Nacional;09 Cataluña;17 Girona;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2010;383.702
Total Nacional;09 Cataluña;17 Girona;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2006;367.400
Total Nacional;09 Cataluña;17 Girona;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2022;103.205
Total Nacional;09 Cataluña;17 Girona;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2018;96.019
Total Nacional;09 Cataluña;17 Girona;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2014;95.425
Total Nacional;09 Cataluña;17 Girona;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2010;94.293
Total Nacional;09 Cataluña;17 Girona;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2006;86.724
Total Nacional;09 Cataluña;17 Girona;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2022;91.540
Total Nacional;09 Cataluña;17 Girona;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2018;97.740
Total Nacional;09 Cataluña;17 Girona;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2014;103.180
Total Nacional;09 Cataluña;17 Girona;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2010;109.197
Total Nacional;09 Cataluña;17 Girona;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2006;113.478
Total Nacional;09 Cataluña;17 Girona;En el extranjero;Todas las edades;Total;1 de enero de 2022;191.372
Total Nacional;09 Cataluña;17 Girona;En el extranjero;Todas las edades;Total;1 de enero de 2018;165.077
Total Nacional;09 Cataluña;17 Girona;En el extranjero;Todas las edades;Total;1 de enero de 2014;161.415
Total Nacional;09 Cataluña;17 Girona;En el extranjero;Todas las edades;Total;1 de enero de 2010;165.854
Total Nacional;09 Cataluña;17 Girona;En el extranjero;Todas las edades;Total;1 de enero de 2006;119.729
Total Nacional;01 Andalucía;18 Granada;En España;Todas las edades;Total;1 de enero de 2022;828.465
Total Nacional;01 Andalucía;18 Granada;En España;Todas las edades;Total;1 de enero de 2018;833.565
Total Nacional;01 Andalucía;18 Granada;En España;Todas las edades;Total;1 de enero de 2014;840.146
Total Nacional;01 Andalucía;18 Granada;En España;Todas las edades;Total;1 de enero de 2010;839.708
Total Nacional;01 Andalucía;18 Granada;En España;Todas las edades;Total;1 de enero de 2006;819.720
Total Nacional;01 Andalucía;18 Granada;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2022;703.757
Total Nacional;01 Andalucía;18 Granada;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2018;712.854
Total Nacional;01 Andalucía;18 Granada;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2014;720.664
Total Nacional;01 Andalucía;18 Granada;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2010;721.593
Total Nacional;01 Andalucía;18 Granada;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2006;708.512
Total Nacional;01 Andalucía;18 Granada;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2022;61.154
Total Nacional;01 Andalucía;18 Granada;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2018;59.298
Total Nacional;01 Andalucía;18 Granada;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2014;58.189
Total Nacional;01 Andalucía;18 Granada;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2010;57.274
Total Nacional;01 Andalucía;18 Granada;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2006;54.663
Total Nacional;01 Andalucía;18 Granada;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2022;63.554
Total Nacional;01 Andalucía;18 Granada;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2018;61.413
Total Nacional;01 Andalucía;18 Granada;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2014;61.293
Total Nacional;01 Andalucía;18 Granada;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2010;60.841
Total Nacional;01 Andalucía;18 Granada;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2006;56.545
Total Nacional;01 Andalucía;18 Granada;En el extranjero;Todas las edades;Total;1 de enero de 2022;93.522
Total Nacional;01 Andalucía;18 Granada;En el extranjero;Todas las edades;Total;1 de enero de 2018;78.510
Total Nacional;01 Andalucía;18 Granada;En el extranjero;Todas las edades;Total;1 de enero de 2014;79.309
Total Nacional;01 Andalucía;18 Granada;En el extranjero;Todas las edades;Total;1 de enero de 2010;78.364
Total Nacional;01 Andalucía;18 Granada;En el extranjero;Todas las edades;Total;1 de enero de 2006;56.464
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;En España;Todas las edades;Total;1 de enero de 2022;220.206
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;En España;Todas las edades;Total;1 de enero de 2018;215.199
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;En España;Todas las edades;Total;1 de enero de 2014;214.428
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;En España;Todas las edades;Total;1 de enero de 2010;209.142
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;En España;Todas las edades;Total;1 de enero de 2006;190.523
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2022;114.407
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2018;115.474
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2014;116.054
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2010;114.410
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2006;110.524
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2022;7.767
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2018;7.765
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2014;7.805
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2010;7.708
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2006;7.280
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2022;98.032
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2018;91.960
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2014;90.569
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2010;87.024
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2006;72.719
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;En el extranjero;Todas las edades;Total;1 de enero de 2022;47.921
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;En el extranjero;Todas las edades;Total;1 de enero de 2018;39.109
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;En el extranjero;Todas las edades;Total;1 de enero de 2014;40.998
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;En el extranjero;Todas las edades;Total;1 de enero de 2010;42.421
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;En el extranjero;Todas las edades;Total;1 de enero de 2006;22.982
Total Nacional;16 País Vasco;20 Gipuzkoa;En España;Todas las edades;Total;1 de enero de 2022;640.746
Total Nacional;16 País Vasco;20 Gipuzkoa;En España;Todas las edades;Total;1 de enero de 2018;652.083
Total Nacional;16 País Vasco;20 Gipuzkoa;En España;Todas las edades;Total;1 de enero de 2014;656.088
Total Nacional;16 País Vasco;20 Gipuzkoa;En España;Todas las edades;Total;1 de enero de 2010;655.944
Total Nacional;16 País Vasco;20 Gipuzkoa;En España;Todas las edades;Total;1 de enero de 2006;659.034
Total Nacional;16 País Vasco;20 Gipuzkoa;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2022;514.663
Total Nacional;16 País Vasco;20 Gipuzkoa;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2018;516.885
Total Nacional;16 País Vasco;20 Gipuzkoa;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2014;514.402
Total Nacional;16 País Vasco;20 Gipuzkoa;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2010;507.827
Total Nacional;16 País Vasco;20 Gipuzkoa;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2006;502.194
Total Nacional;16 País Vasco;20 Gipuzkoa;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2022;21.134
Total Nacional;16 País Vasco;20 Gipuzkoa;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2018;21.458
Total Nacional;16 País Vasco;20 Gipuzkoa;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2014;21.400
Total Nacional;16 País Vasco;20 Gipuzkoa;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2010;21.645
Total Nacional;16 País Vasco;20 Gipuzkoa;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2006;22.123
Total Nacional;16 País Vasco;20 Gipuzkoa;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2022;104.949
Total Nacional;16 País Vasco;20 Gipuzkoa;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2018;113.740
Total Nacional;16 País Vasco;20 Gipuzkoa;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2014;120.286
Total Nacional;16 País Vasco;20 Gipuzkoa;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2010;126.472
Total Nacional;16 País Vasco;20 Gipuzkoa;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2006;134.717
Total Nacional;16 País Vasco;20 Gipuzkoa;En el extranjero;Todas las edades;Total;1 de enero de 2022;83.672
Total Nacional;16 País Vasco;20 Gipuzkoa;En el extranjero;Todas las edades;Total;1 de enero de 2018;68.509
Total Nacional;16 País Vasco;20 Gipuzkoa;En el extranjero;Todas las edades;Total;1 de enero de 2014;59.060
Total Nacional;16 País Vasco;20 Gipuzkoa;En el extranjero;Todas las edades;Total;1 de enero de 2010;51.319
Total Nacional;16 País Vasco;20 Gipuzkoa;En el extranjero;Todas las edades;Total;1 de enero de 2006;32.861
Total Nacional;01 Andalucía;21 Huelva;En España;Todas las edades;Total;1 de enero de 2022;470.528
Total Nacional;01 Andalucía;21 Huelva;En España;Todas las edades;Total;1 de enero de 2018;471.650
Total Nacional;01 Andalucía;21 Huelva;En España;Todas las edades;Total;1 de enero de 2014;471.286
Total Nacional;01 Andalucía;21 Huelva;En España;Todas las edades;Total;1 de enero de 2010;470.923
Total Nacional;01 Andalucía;21 Huelva;En España;Todas las edades;Total;1 de enero de 2006;462.998
Total Nacional;01 Andalucía;21 Huelva;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2022;406.331
Total Nacional;01 Andalucía;21 Huelva;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2018;409.027
Total Nacional;01 Andalucía;21 Huelva;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2014;408.541
Total Nacional;01 Andalucía;21 Huelva;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2010;407.752
Total Nacional;01 Andalucía;21 Huelva;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2006;401.539
Total Nacional;01 Andalucía;21 Huelva;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2022;36.908
Total Nacional;01 Andalucía;21 Huelva;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2018;35.737
Total Nacional;01 Andalucía;21 Huelva;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2014;35.380
Total Nacional;01 Andalucía;21 Huelva;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2010;35.349
Total Nacional;01 Andalucía;21 Huelva;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2006;34.452
Total Nacional;01 Andalucía;21 Huelva;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2022;27.289
Total Nacional;01 Andalucía;21 Huelva;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2018;26.886
Total Nacional;01 Andalucía;21 Huelva;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2014;27.365
Total Nacional;01 Andalucía;21 Huelva;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2010;27.822
Total Nacional;01 Andalucía;21 Huelva;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2006;27.007
Total Nacional;01 Andalucía;21 Huelva;En el extranjero;Todas las edades;Total;1 de enero de 2022;58.235
Total Nacional;01 Andalucía;21 Huelva;En el extranjero;Todas las edades;Total;1 de enero de 2018;48.282
Total Nacional;01 Andalucía;21 Huelva;En el extranjero;Todas las edades;Total;1 de enero de 2014;47.943
Total Nacional;01 Andalucía;21 Huelva;En el extranjero;Todas las edades;Total;1 de enero de 2010;47.158
Total Nacional;01 Andalucía;21 Huelva;En el extranjero;Todas las edades;Total;1 de enero de 2006;29.176
Total Nacional;02 Aragón;22 Huesca;En España;Todas las edades;Total;1 de enero de 2022;189.540
Total Nacional;02 Aragón;22 Huesca;En España;Todas las edades;Total;1 de enero de 2018;190.907
Total Nacional;02 Aragón;22 Huesca;En España;Todas las edades;Total;1 de enero de 2014;195.781
Total Nacional;02 Aragón;22 Huesca;En España;Todas las edades;Total;1 de enero de 2010;199.294
Total Nacional;02 Aragón;22 Huesca;En España;Todas las edades;Total;1 de enero de 2006;199.603
Total Nacional;02 Aragón;22 Huesca;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2022;138.406
Total Nacional;02 Aragón;22 Huesca;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2018;142.011
Total Nacional;02 Aragón;22 Huesca;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2014;145.975
Total Nacional;02 Aragón;22 Huesca;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2010;148.706
Total Nacional;02 Aragón;22 Huesca;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2006;150.519
Total Nacional;02 Aragón;22 Huesca;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2022;14.679
Total Nacional;02 Aragón;22 Huesca;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2018;13.883
Total Nacional;02 Aragón;22 Huesca;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2014;14.165
Total Nacional;02 Aragón;22 Huesca;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2010;14.556
Total Nacional;02 Aragón;22 Huesca;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2006;14.307
Total Nacional;02 Aragón;22 Huesca;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2022;36.455
Total Nacional;02 Aragón;22 Huesca;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2018;35.013
Total Nacional;02 Aragón;22 Huesca;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2014;35.641
Total Nacional;02 Aragón;22 Huesca;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2010;36.032
Total Nacional;02 Aragón;22 Huesca;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2006;34.777
Total Nacional;02 Aragón;22 Huesca;En el extranjero;Todas las edades;Total;1 de enero de 2022;35.916
Total Nacional;02 Aragón;22 Huesca;En el extranjero;Todas las edades;Total;1 de enero de 2018;28.438
Total Nacional;02 Aragón;22 Huesca;En el extranjero;Todas las edades;Total;1 de enero de 2014;29.128
Total Nacional;02 Aragón;22 Huesca;En el extranjero;Todas las edades;Total;1 de enero de 2010;29.272
Total Nacional;02 Aragón;22 Huesca;En el extranjero;Todas las edades;Total;1 de enero de 2006;18.420
Total Nacional;01 Andalucía;23 Jaén;En España;Todas las edades;Total;1 de enero de 2022;599.459
Total Nacional;01 Andalucía;23 Jaén;En España;Todas las edades;Total;1 de enero de 2018;617.307
Total Nacional;01 Andalucía;23 Jaén;En España;Todas las edades;Total;1 de enero de 2014;635.690
Total Nacional;01 Andalucía;23 Jaén;En España;Todas las edades;Total;1 de enero de 2010;647.164
Total Nacional;01 Andalucía;23 Jaén;En España;Todas las edades;Total;1 de enero de 2006;646.922
Total Nacional;01 Andalucía;23 Jaén;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2022;539.184
Total Nacional;01 Andalucía;23 Jaén;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2018;556.669
Total Nacional;01 Andalucía;23 Jaén;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2014;573.179
Total Nacional;01 Andalucía;23 Jaén;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2010;583.427
Total Nacional;01 Andalucía;23 Jaén;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2006;584.982
Total Nacional;01 Andalucía;23 Jaén;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2022;26.176
Total Nacional;01 Andalucía;23 Jaén;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2018;26.556
Total Nacional;01 Andalucía;23 Jaén;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2014;27.193
Total Nacional;01 Andalucía;23 Jaén;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2010;27.749
Total Nacional;01 Andalucía;23 Jaén;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2006;27.730
Total Nacional;01 Andalucía;23 Jaén;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2022;34.099
Total Nacional;01 Andalucía;23 Jaén;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2018;34.082
Total Nacional;01 Andalucía;23 Jaén;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2014;35.318
Total Nacional;01 Andalucía;23 Jaén;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2010;35.988
Total Nacional;01 Andalucía;23 Jaén;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2006;34.210
Total Nacional;01 Andalucía;23 Jaén;En el extranjero;Todas las edades;Total;1 de enero de 2022;24.302
Total Nacional;01 Andalucía;23 Jaén;En el extranjero;Todas las edades;Total;1 de enero de 2018;20.792
Total Nacional;01 Andalucía;23 Jaén;En el extranjero;Todas las edades;Total;1 de enero de 2014;23.343
Total Nacional;01 Andalucía;23 Jaén;En el extranjero;Todas las edades;Total;1 de enero de 2010;23.597
Total Nacional;01 Andalucía;23 Jaén;En el extranjero;Todas las edades;Total;1 de enero de 2006;15.829
Total Nacional;07 Castilla y León;24 León;En España;Todas las edades;Total;1 de enero de 2022;413.307
Total Nacional;07 Castilla y León;24 León;En España;Todas las edades;Total;1 de enero de 2018;431.721
Total Nacional;07 Castilla y León;24 León;En España;Todas las edades;Total;1 de enero de 2014;450.277
Total Nacional;07 Castilla y León;24 León;En España;Todas las edades;Total;1 de enero de 2010;464.119
Total Nacional;07 Castilla y León;24 León;En España;Todas las edades;Total;1 de enero de 2006;472.598
Total Nacional;07 Castilla y León;24 León;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2022;348.023
Total Nacional;07 Castilla y León;24 León;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2018;365.483
Total Nacional;07 Castilla y León;24 León;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2014;381.546
Total Nacional;07 Castilla y León;24 León;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2010;394.284
Total Nacional;07 Castilla y León;24 León;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2006;404.480
Total Nacional;07 Castilla y León;24 León;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2022;16.683
Total Nacional;07 Castilla y León;24 León;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2018;17.281
Total Nacional;07 Castilla y León;24 León;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2014;17.833
Total Nacional;07 Castilla y León;24 León;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2010;18.190
Total Nacional;07 Castilla y León;24 León;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2006;18.196
Total Nacional;07 Castilla y León;24 León;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2022;48.601
Total Nacional;07 Castilla y León;24 León;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2018;48.957
Total Nacional;07 Castilla y León;24 León;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2014;50.898
Total Nacional;07 Castilla y León;24 León;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2010;51.645
Total Nacional;07 Castilla y León;24 León;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2006;49.922
Total Nacional;07 Castilla y León;24 León;En el extranjero;Todas las edades;Total;1 de enero de 2022;34.872
Total Nacional;07 Castilla y León;24 León;En el extranjero;Todas las edades;Total;1 de enero de 2018;32.025
Total Nacional;07 Castilla y León;24 León;En el extranjero;Todas las edades;Total;1 de enero de 2014;34.417
Total Nacional;07 Castilla y León;24 León;En el extranjero;Todas las edades;Total;1 de enero de 2010;35.165
Total Nacional;07 Castilla y León;24 León;En el extranjero;Todas las edades;Total;1 de enero de 2006;25.625
Total Nacional;09 Cataluña;25 Lleida;En España;Todas las edades;Total;1 de enero de 2022;348.798
Total Nacional;09 Cataluña;25 Lleida;En España;Todas las edades;Total;1 de enero de 2018;353.287
Total Nacional;09 Cataluña;25 Lleida;En España;Todas las edades;Total;1 de enero de 2014;357.753
Total Nacional;09 Cataluña;25 Lleida;En España;Todas las edades;Total;1 de enero de 2010;358.901
Total Nacional;09 Cataluña;25 Lleida;En España;Todas las edades;Total;1 de enero de 2006;353.635
Total Nacional;09 Cataluña;25 Lleida;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2022;263.904
Total Nacional;09 Cataluña;25 Lleida;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2018;267.421
Total Nacional;09 Cataluña;25 Lleida;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2014;268.905
