Total Nacional;Comunidades y Ciudades Autónomas;Provincias;País de nacionalidad;Edad (hasta 100 y más);Sexo;Periodo;Total
Total Nacional;;;Dominica;Todas las edades;Total;1 de enero de 2014;617
Total Nacional;;;El Salvador;Todas las edades;Total;1 de enero de 2014;7.058
Total Nacional;;;Guatemala;Todas las edades;Total;1 de enero de 2014;3.772
Total Nacional;;;Honduras;Todas las edades;Total;1 de enero de 2014;40.608
Total Nacional;;;Nicaragua;Todas las edades;Total;1 de enero de 2014;19.807
Total Nacional;;;Panamá;Todas las edades;Total;1 de enero de 2014;1.986
Total Nacional;;;República Dominicana;Todas las edades;Total;1 de enero de 2014;84.689
Total Nacional;;;Resto de Nacionalidades de América Central y Caribe;Todas las edades;Total;1 de enero de 2014;702
Total Nacional;;;De América del Norte;Todas las edades;Total;1 de enero de 2014;56.177
Total Nacional;;;Canadá;Todas las edades;Total;1 de enero de 2014;3.337
Total Nacional;;;Estados Unidos de América;Todas las edades;Total;1 de enero de 2014;29.371
Total Nacional;;;México;Todas las edades;Total;1 de enero de 2014;23.469
Total Nacional;;;De Sudamérica;Todas las edades;Total;1 de enero de 2014;995.282
Total Nacional;;;Argentina;Todas las edades;Total;1 de enero de 2014;85.803
Total Nacional;;;Bolivia;Todas las edades;Total;1 de enero de 2014;150.703
Total Nacional;;;Brasil;Todas las edades;Total;1 de enero de 2014;81.132
Total Nacional;;;Chile;Todas las edades;Total;1 de enero de 2014;30.759
Total Nacional;;;Colombia;Todas las edades;Total;1 de enero de 2014;181.875
Total Nacional;;;Ecuador;Todas las edades;Total;1 de enero de 2014;218.883
Total Nacional;;;Paraguay;Todas las edades;Total;1 de enero de 2014;74.910
Total Nacional;;;Perú;Todas las edades;Total;1 de enero de 2014;90.312
Total Nacional;;;Uruguay;Todas las edades;Total;1 de enero de 2014;31.146
Total Nacional;;;Venezuela;Todas las edades;Total;1 de enero de 2014;49.717
Total Nacional;;;Resto de Nacionalidades de América del Sur;Todas las edades;Total;1 de enero de 2014;42
Total Nacional;;;De Asia;Todas las edades;Total;1 de enero de 2014;381.819
Total Nacional;;;Arabia Saudí;Todas las edades;Total;1 de enero de 2014;599
Total Nacional;;;Bangladesh;Todas las edades;Total;1 de enero de 2014;13.547
Total Nacional;;;China;Todas las edades;Total;1 de enero de 2014;186.031
Total Nacional;;;Corea;Todas las edades;Total;1 de enero de 2014;3.592
Total Nacional;;;Filipinas;Todas las edades;Total;1 de enero de 2014;31.025
Total Nacional;;;India;Todas las edades;Total;1 de enero de 2014;36.570
Total Nacional;;;Indonesia;Todas las edades;Total;1 de enero de 2014;1.336
Total Nacional;;;Irán;Todas las edades;Total;1 de enero de 2014;3.329
Total Nacional;;;Iraq;Todas las edades;Total;1 de enero de 2014;1.020
Total Nacional;;;Israel;Todas las edades;Total;1 de enero de 2014;1.840
Total Nacional;;;Japón;Todas las edades;Total;1 de enero de 2014;5.665
Total Nacional;;;Jordania;Todas las edades;Total;1 de enero de 2014;1.171
Total Nacional;;;Kazajstán;Todas las edades;Total;1 de enero de 2014;1.318
Total Nacional;;;Líbano;Todas las edades;Total;1 de enero de 2014;1.511
Total Nacional;;;Nepal;Todas las edades;Total;1 de enero de 2014;3.124
Total Nacional;;;Pakistán;Todas las edades;Total;1 de enero de 2014;79.619
Total Nacional;;;Siria;Todas las edades;Total;1 de enero de 2014;3.321
Total Nacional;;;Tailandia;Todas las edades;Total;1 de enero de 2014;1.599
Total Nacional;;;Vietnam;Todas las edades;Total;1 de enero de 2014;729
Total Nacional;;;Resto de Nacionalidades Asiáticas;Todas las edades;Total;1 de enero de 2014;4.873
Total Nacional;;;De Oceanía;Todas las edades;Total;1 de enero de 2014;2.701
Total Nacional;;;Australia;Todas las edades;Total;1 de enero de 2014;1.913
Total Nacional;;;Nueva Zelanda;Todas las edades;Total;1 de enero de 2014;650
Total Nacional;;;Resto de Nacionalidades de Oceanía;Todas las edades;Total;1 de enero de 2014;138
Total Nacional;;;Apátridas;Todas las edades;Total;1 de enero de 2014;608
Total Nacional;01 Andalucía;;Extranjera;Todas las edades;Total;1 de enero de 2014;661.520
Total Nacional;01 Andalucía;;Europa (sin España);Todas las edades;Total;1 de enero de 2014;354.747
Total Nacional;01 Andalucía;;Alemania;Todas las edades;Total;1 de enero de 2014;19.454
Total Nacional;01 Andalucía;;Austria;Todas las edades;Total;1 de enero de 2014;1.139
Total Nacional;01 Andalucía;;Bélgica;Todas las edades;Total;1 de enero de 2014;6.184
Total Nacional;01 Andalucía;;Bulgaria;Todas las edades;Total;1 de enero de 2014;11.948
Total Nacional;01 Andalucía;;Chipre;Todas las edades;Total;1 de enero de 2014;28
Total Nacional;01 Andalucía;;Croacia;Todas las edades;Total;1 de enero de 2014;151
Total Nacional;01 Andalucía;;Dinamarca;Todas las edades;Total;1 de enero de 2014;5.281
Total Nacional;01 Andalucía;;Eslovenia;Todas las edades;Total;1 de enero de 2014;107
Total Nacional;01 Andalucía;;Estonia;Todas las edades;Total;1 de enero de 2014;537
Total Nacional;01 Andalucía;;Finlandia;Todas las edades;Total;1 de enero de 2014;6.558
Total Nacional;01 Andalucía;;Francia;Todas las edades;Total;1 de enero de 2014;13.311
Total Nacional;01 Andalucía;;Grecia;Todas las edades;Total;1 de enero de 2014;393
Total Nacional;01 Andalucía;;Hungría;Todas las edades;Total;1 de enero de 2014;1.416
Total Nacional;01 Andalucía;;Irlanda;Todas las edades;Total;1 de enero de 2014;4.087
Total Nacional;01 Andalucía;;Italia;Todas las edades;Total;1 de enero de 2014;20.044
Total Nacional;01 Andalucía;;Letonia;Todas las edades;Total;1 de enero de 2014;544
Total Nacional;01 Andalucía;;Lituania;Todas las edades;Total;1 de enero de 2014;5.386
Total Nacional;01 Andalucía;;Luxemburgo;Todas las edades;Total;1 de enero de 2014;111
Total Nacional;01 Andalucía;;Malta;Todas las edades;Total;1 de enero de 2014;51
Total Nacional;01 Andalucía;;Países Bajos;Todas las edades;Total;1 de enero de 2014;9.438
Total Nacional;01 Andalucía;;Polonia;Todas las edades;Total;1 de enero de 2014;7.726
Total Nacional;01 Andalucía;;Portugal;Todas las edades;Total;1 de enero de 2014;9.018
Total Nacional;01 Andalucía;;República Checa;Todas las edades;Total;1 de enero de 2014;862
Total Nacional;01 Andalucía;;República Eslovaca;Todas las edades;Total;1 de enero de 2014;636
Total Nacional;01 Andalucía;;Rumanía;Todas las edades;Total;1 de enero de 2014;98.483
Total Nacional;01 Andalucía;;Suecia;Todas las edades;Total;1 de enero de 2014;5.545
Total Nacional;01 Andalucía;;Albania;Todas las edades;Total;1 de enero de 2014;159
Total Nacional;01 Andalucía;;Andorra;Todas las edades;Total;1 de enero de 2014;48
Total Nacional;01 Andalucía;;Armenia;Todas las edades;Total;1 de enero de 2014;1.001
Total Nacional;01 Andalucía;;Belarús;Todas las edades;Total;1 de enero de 2014;709
Total Nacional;01 Andalucía;;Bosnia y Herzegovina;Todas las edades;Total;1 de enero de 2014;81
Total Nacional;01 Andalucía;;Georgia;Todas las edades;Total;1 de enero de 2014;889
Total Nacional;01 Andalucía;;Islandia;Todas las edades;Total;1 de enero de 2014;126
Total Nacional;01 Andalucía;;Liechtenstein;Todas las edades;Total;1 de enero de 2014;2
Total Nacional;01 Andalucía;;Macedonia del Norte;Todas las edades;Total;1 de enero de 2014;54
Total Nacional;01 Andalucía;;Moldavia;Todas las edades;Total;1 de enero de 2014;975
Total Nacional;01 Andalucía;;Noruega;Todas las edades;Total;1 de enero de 2014;2.719
Total Nacional;01 Andalucía;;Reino Unido;Todas las edades;Total;1 de enero de 2014;91.436
Total Nacional;01 Andalucía;;Rusia;Todas las edades;Total;1 de enero de 2014;12.422
Total Nacional;01 Andalucía;;Serbia;Todas las edades;Total;1 de enero de 2014;319
Total Nacional;01 Andalucía;;Serbia y Montenegro;Todas las edades;Total;1 de enero de 2014;""
Total Nacional;01 Andalucía;;Suiza;Todas las edades;Total;1 de enero de 2014;1.752
Total Nacional;01 Andalucía;;Turquía;Todas las edades;Total;1 de enero de 2014;297
Total Nacional;01 Andalucía;;Ucrania;Todas las edades;Total;1 de enero de 2014;13.297
Total Nacional;01 Andalucía;;Resto de Nacionalidades Europeas;Todas las edades;Total;1 de enero de 2014;23
Total Nacional;01 Andalucía;;De Africa;Todas las edades;Total;1 de enero de 2014;164.994
Total Nacional;01 Andalucía;;Angola;Todas las edades;Total;1 de enero de 2014;106
Total Nacional;01 Andalucía;;Argelia;Todas las edades;Total;1 de enero de 2014;5.601
Total Nacional;01 Andalucía;;Benin;Todas las edades;Total;1 de enero de 2014;42
Total Nacional;01 Andalucía;;Burkina Faso;Todas las edades;Total;1 de enero de 2014;220
Total Nacional;01 Andalucía;;Cabo Verde;Todas las edades;Total;1 de enero de 2014;60
Total Nacional;01 Andalucía;;Camerún;Todas las edades;Total;1 de enero de 2014;471
Total Nacional;01 Andalucía;;Congo;Todas las edades;Total;1 de enero de 2014;108
Total Nacional;01 Andalucía;;Costa de Marfil;Todas las edades;Total;1 de enero de 2014;469
Total Nacional;01 Andalucía;;Egipto;Todas las edades;Total;1 de enero de 2014;345
Total Nacional;01 Andalucía;;Etiopía;Todas las edades;Total;1 de enero de 2014;95
Total Nacional;01 Andalucía;;Gambia;Todas las edades;Total;1 de enero de 2014;957
Total Nacional;01 Andalucía;;Ghana;Todas las edades;Total;1 de enero de 2014;2.302
Total Nacional;01 Andalucía;;Guinea;Todas las edades;Total;1 de enero de 2014;898
Total Nacional;01 Andalucía;;Guinea Ecuatorial;Todas las edades;Total;1 de enero de 2014;424
Total Nacional;01 Andalucía;;Guinea-Bissau;Todas las edades;Total;1 de enero de 2014;1.856
Total Nacional;01 Andalucía;;Kenia;Todas las edades;Total;1 de enero de 2014;308
Total Nacional;01 Andalucía;;Liberia;Todas las edades;Total;1 de enero de 2014;53
Total Nacional;01 Andalucía;;Mali;Todas las edades;Total;1 de enero de 2014;4.593
Total Nacional;01 Andalucía;;Marruecos;Todas las edades;Total;1 de enero de 2014;126.031
Total Nacional;01 Andalucía;;Mauritania;Todas las edades;Total;1 de enero de 2014;1.666
Total Nacional;01 Andalucía;;Nigeria;Todas las edades;Total;1 de enero de 2014;7.035
Total Nacional;01 Andalucía;;República Democrática del Congo;Todas las edades;Total;1 de enero de 2014;35
Total Nacional;01 Andalucía;;Senegal;Todas las edades;Total;1 de enero de 2014;10.260
Total Nacional;01 Andalucía;;Sierra Leona;Todas las edades;Total;1 de enero de 2014;69
Total Nacional;01 Andalucía;;Sudáfrica;Todas las edades;Total;1 de enero de 2014;216
Total Nacional;01 Andalucía;;Togo;Todas las edades;Total;1 de enero de 2014;75
Total Nacional;01 Andalucía;;Túnez;Todas las edades;Total;1 de enero de 2014;223
Total Nacional;01 Andalucía;;Resto de Nacionalidades Africanas;Todas las edades;Total;1 de enero de 2014;476
Total Nacional;01 Andalucía;;De América;Todas las edades;Total;1 de enero de 2014;109.044
Total Nacional;01 Andalucía;;De Centro América y Caribe;Todas las edades;Total;1 de enero de 2014;13.182
Total Nacional;01 Andalucía;;Costa Rica;Todas las edades;Total;1 de enero de 2014;226
Total Nacional;01 Andalucía;;Cuba;Todas las edades;Total;1 de enero de 2014;4.045
Total Nacional;01 Andalucía;;Dominica;Todas las edades;Total;1 de enero de 2014;84
Total Nacional;01 Andalucía;;El Salvador;Todas las edades;Total;1 de enero de 2014;472
Total Nacional;01 Andalucía;;Guatemala;Todas las edades;Total;1 de enero de 2014;414
Total Nacional;01 Andalucía;;Honduras;Todas las edades;Total;1 de enero de 2014;1.280
Total Nacional;01 Andalucía;;Nicaragua;Todas las edades;Total;1 de enero de 2014;2.410
Total Nacional;01 Andalucía;;Panamá;Todas las edades;Total;1 de enero de 2014;156
Total Nacional;01 Andalucía;;República Dominicana;Todas las edades;Total;1 de enero de 2014;3.998
Total Nacional;01 Andalucía;;Resto de Nacionalidades de América Central y Caribe;Todas las edades;Total;1 de enero de 2014;97
Total Nacional;01 Andalucía;;De América del Norte;Todas las edades;Total;1 de enero de 2014;7.495
