Total Nacional;Comunidades y Ciudades Autónomas;Provincias;País de nacionalidad;Edad (hasta 100 y más);Sexo;Periodo;Total
Total Nacional;;;Extranjera;Todas las edades;Total;1 de enero de 2022;5.542.932
Total Nacional;;;Europa (sin España);Todas las edades;Total;1 de enero de 2022;2.205.961
Total Nacional;;;Alemania;Todas las edades;Total;1 de enero de 2022;116.122
Total Nacional;;;Austria;Todas las edades;Total;1 de enero de 2022;7.574
Total Nacional;;;Bélgica;Todas las edades;Total;1 de enero de 2022;37.296
Total Nacional;;;Bulgaria;Todas las edades;Total;1 de enero de 2022;114.522
Total Nacional;;;Chipre;Todas las edades;Total;1 de enero de 2022;549
Total Nacional;;;Croacia;Todas las edades;Total;1 de enero de 2022;3.138
Total Nacional;;;Dinamarca;Todas las edades;Total;1 de enero de 2022;9.136
Total Nacional;;;Eslovenia;Todas las edades;Total;1 de enero de 2022;1.854
Total Nacional;;;Estonia;Todas las edades;Total;1 de enero de 2022;2.841
Total Nacional;;;Finlandia;Todas las edades;Total;1 de enero de 2022;11.383
Total Nacional;;;Francia;Todas las edades;Total;1 de enero de 2022;115.320
Total Nacional;;;Grecia;Todas las edades;Total;1 de enero de 2022;5.421
Total Nacional;;;Hungría;Todas las edades;Total;1 de enero de 2022;10.986
Total Nacional;;;Irlanda;Todas las edades;Total;1 de enero de 2022;19.491
Total Nacional;;;Italia;Todas las edades;Total;1 de enero de 2022;275.654
Total Nacional;;;Letonia;Todas las edades;Total;1 de enero de 2022;5.455
Total Nacional;;;Lituania;Todas las edades;Total;1 de enero de 2022;15.841
Total Nacional;;;Luxemburgo;Todas las edades;Total;1 de enero de 2022;744
Total Nacional;;;Malta;Todas las edades;Total;1 de enero de 2022;446
Total Nacional;;;Países Bajos;Todas las edades;Total;1 de enero de 2022;50.278
Total Nacional;;;Polonia;Todas las edades;Total;1 de enero de 2022;52.882
Total Nacional;;;Portugal;Todas las edades;Total;1 de enero de 2022;98.874
Total Nacional;;;República Checa;Todas las edades;Total;1 de enero de 2022;7.199
Total Nacional;;;República Eslovaca;Todas las edades;Total;1 de enero de 2022;5.900
Total Nacional;;;Rumanía;Todas las edades;Total;1 de enero de 2022;627.478
Total Nacional;;;Suecia;Todas las edades;Total;1 de enero de 2022;21.527
Total Nacional;;;Albania;Todas las edades;Total;1 de enero de 2022;5.022
Total Nacional;;;Andorra;Todas las edades;Total;1 de enero de 2022;1.138
Total Nacional;;;Armenia;Todas las edades;Total;1 de enero de 2022;11.814
Total Nacional;;;Belarús;Todas las edades;Total;1 de enero de 2022;6.361
Total Nacional;;;Bosnia y Herzegovina;Todas las edades;Total;1 de enero de 2022;1.182
Total Nacional;;;Georgia;Todas las edades;Total;1 de enero de 2022;20.655
Total Nacional;;;Islandia;Todas las edades;Total;1 de enero de 2022;1.506
Total Nacional;;;Liechtenstein;Todas las edades;Total;1 de enero de 2022;33
Total Nacional;;;Macedonia del Norte;Todas las edades;Total;1 de enero de 2022;688
Total Nacional;;;Moldavia;Todas las edades;Total;1 de enero de 2022;17.239
Total Nacional;;;Noruega;Todas las edades;Total;1 de enero de 2022;11.577
Total Nacional;;;Reino Unido;Todas las edades;Total;1 de enero de 2022;293.171
Total Nacional;;;Rusia;Todas las edades;Total;1 de enero de 2022;82.380
Total Nacional;;;Serbia;Todas las edades;Total;1 de enero de 2022;3.943
Total Nacional;;;Serbia y Montenegro;Todas las edades;Total;1 de enero de 2022;
Total Nacional;;;Suiza;Todas las edades;Total;1 de enero de 2022;13.866
Total Nacional;;;Turquía;Todas las edades;Total;1 de enero de 2022;5.542
Total Nacional;;;Ucrania;Todas las edades;Total;1 de enero de 2022;111.443
Total Nacional;;;Resto de Nacionalidades Europeas;Todas las edades;Total;1 de enero de 2022;490
Total Nacional;;;De Africa;Todas las edades;Total;1 de enero de 2022;1.217.706
Total Nacional;;;Angola;Todas las edades;Total;1 de enero de 2022;1.519
Total Nacional;;;Argelia;Todas las edades;Total;1 de enero de 2022;63.964
Total Nacional;;;Benin;Todas las edades;Total;1 de enero de 2022;337
